restaurant_id,restaurant_name,cuisine_type
324,Gopal'S,Chaat
325,Ujjwala Restaurant,Chicken Biryani
326,Kaveri - Lalpur,Chinese Delight
327,Bowl Soul,Recommended
328,"Wefit - Protein Bowls, Salads & Sandwiches",Wefit Multigrain Sandwiches
329,Wooden Plate,Recommended
330,Theobroma,Recommended
331,Ss Hyderabad Biryani,Ice Cream
332,Polar Bear,Naturally Good Sundaes
333,Hotel Heiga,Recommended
334,Sweet Truth - Cake And Desserts,Dessert Jars
335,Sandy'S Chocolate Laboratory,Sharing Plates
336,Apna Vaishno Dhaba,Tandoor Se
337,Neelkanth Sweets,Mithai Packs
338,Mcdonald'S,Mccrispy Range
339,Mani'S Cafe,South Indian
340,Wow! China,Wow! Kulfi  Dessert
341,The Persian Table,Vegetarian
342,Anna (Truly Veg),Healthy Food
343,China Belly By Wow! Momo,Mix Noodles Regular
344,Hotel Polo Towers,Salads
345,Theobroma,Tea Cakes
346,Kfc,All Day Lunch Special Meal Box (Save Rs 115)
347,Daily Kitchen - Everyday Homely Meals,Non-Veg Homely - Everyday Thali
348,Jashn The Restaurant,Tandoor
349,Cafe Parizaad,Shawarma
350,Burger King,Desserts
351,Freshmenu,Bowls
352,Highway Kitchen,Non-Veg Main Course
353,Pyramid,"Combo""S"
354,Kfc,Boneless Chicken Popcorn
355,Nazim Khan Kathi Roll,Recommended
356,Khullak Cafe,Noodles
357,Cheesecakes By Cakezone,Pastry
358,Burger King,Value Meals (Save Upto 47%)
359,Eden Restaurant,Indian Main Course (Paneer)
360,Home Plate By Eatfit,Rumali Roti Thali (New)
361,Preeti Tiffins,Pesarattu
362,Mcdonald'S Gourmet Burger Collection,Fries & Sides
363,Daya Hari Mithai,Sweets
364,Takeout,Pasta
365,Chinese Wok,Drinks
366,Olio - The Wood Fired Pizzeria,Pastas
367,Jayhind Sweets,Dryfruit Sweets
368,Cholo Khai,Mayonnaise Special Items
369,Udupi Grand,Fried Rice & Noodles
370,Bakingo,Gourmet Cakes
371,Wendy'S Burgers,Cheeseblast Burgers
372,Vadilal Ice Creams,Kulfies
373,Aao Ji Te Khao Ji,Sweets
374,Faasos' Signature Wraps & Rolls,Burger Wraps (Extra Crunch)
375,Poetry By Love & Cheesecake,Cheesecake Slices
376,Udupi Grand,Veg Starters
377,Shaan Sweets And Snacks,Main Course
378,Biryani By Kilo,Beverages
379,Bizza Cafe Heritage,Indian Items
380,Gopal'S,Recommended
381,Veg Meals By Lunchbox,Starters And Beverages
382,Salem Rr Biriyani Unavagam,Schezwan Fried Rice & Noodles
383,Radhey Lal Premium Sweets,Ghewar Special
384,The Pizza Bakery - Wood Fired Sourdough,Garlic Aioli Dip!
385,Wow! Momo,Korean Momo (Newly Launched)
386,Food Lovers Restaurant,Biryani
387,Lunchbox  Meals And Thalis,Recommended
388,Domino'S Pizza,Beverages
389,Barbeque Nation,Kebabs Platter And Starters
390,Suchali'S Artisan Bakehouse,Recommended
391,Attitude Cafe And Restaurant Nxt,Veg Meals
392,Big Fat Sandwich & Pizza,Big Fat Bakers
393,Momo Nation Cafe,Burgers
394,Jugaad Jn,Recommended
395,Kfc,Epic Value Meals For 1-2 (Up To 22% Off)
396,Sindhi Sweets,Recommended
397,"Faasos - Wraps, Rolls & Shawarma",Newly Launched
398,Hira Sweets And Confectionary Pvt. Ltd.,Prasadam
399,Kanti Sweets,Cookies And Biscuits
400,Mio Amore - The Cake Shop,Packaged Snacks
401,Cheesecakes By Cakezone,Jar Cake
402,Chopstyx,Non Veg Appetizers
403,Domino'S Pizza,Garlic Breads & More
404,Dharma Vaishno Dhaba,Daal
405,Rominus Pizza And Burger,Recommended
406,Bowl Soul,Noodle Bowls
407,Kfc,Hot & Crispy Chicken & Wings
408,Lunchbox - Meals And Thalis,Breakfast Box
409,Cheesecake & Co.,Brownies
410,Dragon Panda,Main Course
411,Burger Farm,Veg Burgers
412,Sherawat Juice And Ice Cream Parlour,Shakes
413,Starbucks Coffee,Recommended
414,Highway Kitchen,Chaap
415,Olio - The Wood Fired Pizzeria,Signature Garlic Knots
416,Shree Raghavendra,Breakfast Bestsellers
417,The Good Bowl,Mini Bowls
418,Momo Nation Cafe,Snacks
419,Edesia By Freshmenu,Burger
420,Wow! Momo,Dessert
421,Bhavyam Veg,Special Combo
422,Bawarchi Fast Food,Starters
423,Mcdonald'S Gourmet Burger Collection,Burger Combos ( 3 Pc Meals )
424,Kfc,Flat 179 Special Meals/Bucket
425,Mcdonald'S,Protein Plus And Burgers With Millet Bun
426,Mojo Pizza - 2X Toppings,"Big 10"" Pizzas | Veg [Serves 2-3]"
427,Ramdev'S Khana Khazana,Pav Bhaji Special
428,Pvr Tiffins,Recommended
429,Leancrust Pizza- Thincrust Experts,Gourmet Pastas - By Hola
430,Bombay Misthan Bhandar,Mawa Sweets
431,Hotel Annalakshmi,Main Course
432,Nandhana Palace,Recommended
433,Itc Aashirvaad Soul Creations,All Day Breakfast
434,Makhani Darbar,Veg Gravies
435,Lhasa Restaurant,Tandoori
436,"Faasos - Wraps, Rolls & Shawarma",Super Saver Wrap Duos
437,Laduram Nanagram Mawawala,Bangali Mithai
438,Babe Da Dhaba,Main Course
439,Madras Cafe,Kebab Corner
440,Mellow,Starters
441,Bombay Mishthan Bhandar (Bmb) - Durapura,Chineese
442,Kfc,Grilled Smoky Red Chicken
443,The Good Bowl,Signature Bowls
444,The Great Indian Kitchen,Chola Bhature
445,Tasty Tastes - Nagmapal,Thali Combo
446,Makhani Darbar,Desserts
447,Gurukripa Restaurant - Sarwate,Veg Main Course
448,Kfc,Peri Peri Chicken Strips & Leg Pc (Up To 25%)
449,Hotel Surabhi Udupi Veg,Recommended
450,Food Lovers Restaurant,Noodles
451,Sethi Tikka Kabab Curry,Non-Veg Starters
452,Miles - City Mall,Beverages
453,Faasos Signature Wraps & Rolls,Super Saver Combos
454,Mcdonald'S,Extra Value Meal Medium
455,Sri Tiffins,South Indian
456,Sodhani Sweets And Namkeen,Ghee Sweets
457,Oven Story Pizza,Garlic Breads
458,Food On Way,Paneer Combos
459,Big Hunger Ashoka Biryani,Green Salad / Papad / Raita
460,Hrx By Eatfit,Mini Burrito Bowl (New)
461,Cafe Coffee Day,Recommended
462,Zaatar Arabic Restaurant,Al Faham
463,Wooden Plate,Stand Alone Meat Items
464,Tiffinette,Dosa Classic
465,Munchies,Rice & Noodles
466,Harley'S Fine Baking,Gourmet Cookies
467,Minus 30,Vegan & Sugar Free
468,Gopal'S,Sweets
469,Wow! Momo,Add Ons
470,Saudagar,Rotis And Breads
471,Pastas By Pizza Hut,Desserts
472,Uk Pizza Hut,Veg Pizza
473,Vijay Dairy,Recommended
474,Keventers - Milkshakes & Desserts,Sparkling Iced Beverages
475,Olio - The Wood Fired Pizzeria,Krispy Kreme Doughnuts And Coffee
476,Amritsari Restaurant Katora Talab,Dal Balti
477,Logo Cafe,Momos
478,Udupi Cafe North India,Dosas
479,Daily Kitchen - Everyday Homely Meals,Veg Homely - Feast Thali
480,A2B - Adyar Ananda Bhavan,Recommended
481,Chai Sutta Bar,Recommended
482,"The Dessert Heaven - Pastry, Brownie And Cakes",Cupcakes
483,Srinidhi Sagar Deluxe,South Indian Dishes
484,Shree Agarwal Caterers,Desi Ghee Sweets
485,Gangaur Next,Dry Sweets
486,Burger Farm,Exclusive Combo
487,Edesia By Freshmenu,All Day Breakfast
488,Dum Safar Biryani,Curries And Breads
489,Habitat Restaurant,Fish Dishes
490,Lunchbox - Meals And Thalis,Chapati Lunchbox
491,Mughlai Restaurant,Fish Main Course
492,China Belly By Wow! Momo,Main Course Regular
493,Sambharsa,Beverage
494,Biryani By Kilo,Rolls
495,Shanghai Flavours Of China Town,Pan Asian Feast
496,Maa Ki Rasoi,Summer Special
497,Sangeetha'S Desi Mane - Annanagar,Soup
498,Mithaas,Chaat
499,Behrouz Biryani,Metal Handi - Alishaan Biryani (Serves 4-5)
500,Mahawar Baker'S & Sweets,Roti & Thali
501,Bowl Soul,Appetizers
502,Saudagar,Jain Main Course
503,Mcdonald'S,Desserts
504,Lunchbox - Meals And Thalis,North Indian Curries
505,Haldiram'S Restaurant,Meetha Maza
506,Olio - The Wood Fired Pizzeria,Pepperoni Pizza - Chef'S Special
507,Bowl Soul,Indian Bowls
508,Paprika - Pramod Laddu Bhandar,North Indian
509,Winni Cakes & More,Burger & Sandwiches
510,Lord Petrick,Special Item
511,Burger Farm,Wraps
512,Moti Mahal,South Indian
513,Olio - The Wood Fired Pizzeria,Cheesy Pizza Mania Box
514,Lunchbox  Meals And Thalis,Mini Lunchbox
515,Haldiram'S Restaurant,Kathi Roll'S
516,Sagar Restaurant,Indian Dish
517,Food On Way,Gujarati Fix Thali [Jain Not Available]
518,Junior Kuppanna,Juzeup
519,Pizza Hut,Thin N Crispy Pizzas
520,The Boston Cafe & Patisserie,Cupcakes
521,Mcdonald'S,Burgers
522,Makhani Darbar,Biryani ( Serves 1)
523,Hanglaatherium,Recommended
524,Mad Over Donuts,Chef Special
525,Mcdonald'S Gourmet Burger Collection,Coffee & Beverages (Hot And Cold)
526,Friends Cafe,Recommended
527,Daily Kitchen - Everyday Homely Meals,Veg Homely - Everyday Thali
528,De Linz Cafe,Appetizers
529,Mahalaxmi Sweets & Restaurant,Rice
530,Hotel Polo Towers,Asian Kitchen
531,Das Khaman,Recommended
532,Haona Chao,Kimbap
533,Smoor,Recommended
534,Bhavyam Veg,Millet Items[Bv]
535,"Faasos - Wraps, Rolls & Shawarma",Pizza Wraps
536,Beekays,Cakes
537,Hira Sweets And Confectionary Pvt. Ltd.,Chinese
538,Rama Restaurant,Rice
539,Cafe Coffee Day,Refreshing Quenchers
540,Gopal Mistanna Bhandar,Roll
541,Sweet Truth - Cake And Desserts,Brownies & Lava Cakes
542,Kanti Sweets,Cakes
543,Barbeque Nation,Premium Thalis
544,Maa Ki Rasoi,Veg Main Course
545,The Eleganza,Recommended
546,Bikanervala,Combo Foods
547,Radha Krishna,Tandoor Tawa
548,Biryani Paradise,Breads
549,Gurukripa Restaurant - Sarwate,Paneer Main Course
550,Sweet Truth,Indian Desserts
551,Gulab Sweets And Restaurant,Cakes
552,Udupi Cafe North India,Ottappams
553,6 Ballygunge Place Takeaway,Non Veg Curry
554,Salad Days,Healthy Soups
555,The Cherith,Main Course Naga Curry
556,Little Persia,Salads & Sides
557,The Good Bowl,Fusion Mac & Cheese Bowls
558,Little Persia,Biryani  And Rice
559,Pizzmo,Chinese And More
560,Giani,Ice Cream Soda
561,Suchali'S Artisan Bakehouse,Croissants & More
562,Nh1 Bowls - Highway To North,Biryani Bowls
563,"Faasos - Wraps, Rolls & Shawarma",Recommended
564,Burger Farm,Non-Veg Burgers Meals
565,Gokul Dham Ka Dhaba,Indian Veg
566,Delly Belly,Jain Food (Without Onion Garlic)
567,Giani,Stick Kulfi
568,Hrx By Eatfit,Fresh Salads
569,Red Chilliz,Recommended
570,Pikwik Since 1991,Mutton And Fish Indian Main Course
571,Southern Taste,Combo
572,Mio Amore - The Cake Shop,Recommended
573,Nic Ice Creams,Kulfi
574,Pizza Hut,Hut Café
575,The Eleganza,Rice
576,Saurashtra Chawana & Sweets,Namkeen @ Rs. 79
577,Crusto'S - Cheese Burst Pizza By Olio,Recommended
578,Nic Ice Creams,750 Ml Ice Creams
579,Burger King,Soft Drinks
580,Radhey Lal'S Parampara Sweets,Snacks
581,Freshmenu,Desserts And Beverages
582,Mad For Momos,Potato Twister
583,Udupi Grand,Dosa Specials
584,Madhurima Veg,All Day Breakfast & Snacks
585,Street Foods By Punjab Grill,Recommended
586,Baskin Robbins - Ice Cream Desserts,Ice Cream Rocks
587,New Chanakya,Biryani Rice
588,Grameen Kulfi,Slice Kulfi
589,Mcdonald'S,Match Day Combo
590,Mealful Rolls - India'S Biggest Rolls,"Veggie Rolls [Big 9""]"
591,Bowl Soul,Continental Bowls
592,Sandy'S Chocolate Laboratory,"Burger, Sandwiches & Wraps"
593,Supreme Upper Crust,South Indian
594,Sandy'S Chocolate Laboratory,Large Plates
595,Pandit Ji Sweets & Restaurant Dairy,Breads/ Roti
596,Lunchbox  Meals And Thalis,Executive Lunchbox
597,Khana Khazana (Shankar Nagar),Chinese
598,Sri Varalakshmi Pure Veg Tiffins,Special  Dish
599,Paakashala,Salad & Raita
600,Veg Meals By Lunchbox,Chapati Lunchbox
601,Hotel Maharaja And Fast Food,Roll
602,Sweet Truth - Cake And Desserts,Ice Creams
603,Swastik Mom'S Kitchen,Rice
604,Behrouz Biryani,Shahi Biryani (Serves 1)
605,Paakashala,Lassi
606,Hira Sweets,Subah Ka Nashta
607,Taaka Chinese,Appetizers
